project_title,location,contractor,contract_cost_raw,contract_cost_numeric,start_date,completion_date,region,contract_id,data_contractor,data_location
"Construction of Slope Protection and Canal Structure of Porac - Gumain RIS, Guagua, Pampanga",PAMPANGA,"TOKWING CONSTRUCTION, CORP.(FOR; TOKWING CONSTRUC","77,188,819.91","77,188,819.91",07/04/2022,01/19/2023,Region III,22CH0083,"TOKWING CONSTRUCTION, CORP.(FOR; TOKWING CONSTRUC",PAMPANGA
"Construction of Dannal Flood Control Structure, Sta. 076+960 - Sta. 077+660 (R.S.), Anonat, Paracelis, Mountain Province",MOUNTAIN PROVINCE,ED1SON DEVELOPMENT & CONSTRUCTION INC. / GAWIS CONSTRUCTION SERVICES,"69,960,570.00","69,960,570.00",02/24/2022,01/19/2023,Cordillera Administrative Region,22PM0015,ED1SON DEVELOPMENT & CONSTRUCTION INC. / GAWIS CONSTRUCTION SERVICES,MOUNTAIN PROVINCE
"Construction of Flood Control Structure at Barangay Poblacion, Baay-Licuan, Abra",ABRA,739 BUILDERS,"48,998,000.00","48,998,000.00",07/13/2022,01/19/2023,Cordillera Administrative Region,22PA0177,739 BUILDERS,ABRA
"Construction of Buhangin River Bank Slope Protection (Downstream of Taburda Bridge) along Vallehermoso-Canla-on City-La Castellana Road, Negros Occidental",NEGROS OCCIDENTAL,JAIME B. CHING ENTERPRISES,"96,500,000.00","96,500,000.00",05/19/2022,01/18/2023,Negros Island Region,22GL0102,JAIME B. CHING ENTERPRISES,NEGROS OCCIDENTAL
"Construction/Improvement of Flood Control Structure along Panagan River, Sta. 0+300 - Sta.0+600 (upstream), Sta. 0+401.05 - Sta. 0+701.05 (downstream), Tigaon, Camarines Sur",CAMARINES SUR,PARTIDO CONSTRUCTION & SUPPLY,"82,025,000.00","82,025,000.00",03/17/2022,01/18/2023,Region V,22FG0008,PARTIDO CONSTRUCTION & SUPPLY,CAMARINES SUR
"Rehabilitation of Dike along Bangut River (Brgy. Sta. Lucia Section, Sta. 1+640 to Sta. 2+200), Capas, Tarlac",TARLAC,FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,"96,496,291.64","96,496,291.64",03/26/2022,01/18/2023,Region III,22CK0099,FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,TARLAC
"Construction of Marao Flood Control Structure, Marao River Basin, Left Side Bank, Brgy. Guinsangaan, Inopacan, Leyte",LEYTE,"B. VICENCIO BUILDERS (BVB), INC. (FORMERLY:B. VICENCIO CONSTRUCTION) / C N E CONSTRUCTION","95,520,631.32","95,520,631.32",03/10/2022,01/17/2023,Region VIII,22IG0038,"B. VICENCIO BUILDERS (BVB), INC. (FORMERLY:B. VICENCIO CONSTRUCTION) / C N E CONSTRUCTION",LEYTE
"Construction of Guintubhan River Bank Slope (Downstream of Guintubhan Br.) along Binalbagan - Isabela Road (Left Bank, Phase II), Negros Occidental",NEGROS OCCIDENTAL,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"96,500,000.00","96,500,000.00",05/19/2022,01/17/2023,Negros Island Region,22GL0092,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),NEGROS OCCIDENTAL
"Construction of Bongabong River Control, Brgy. Luna Section, Sta. 0+000 - Sta. 0+334, Bongabong, Oriental Mindoro",ORIENTAL MINDORO,TWENTY SIXTEEN CONSTRUCTION AND GENERAL MERCHANDISE / LUMEL GLENN CONSTRUCTION,"48,999,950.04","48,999,950.04",04/13/2022,01/17/2023,Region IV-B,22EI0012,TWENTY SIXTEEN CONSTRUCTION AND GENERAL MERCHANDISE / LUMEL GLENN CONSTRUCTION,ORIENTAL MINDORO
"Construction of River Control along Sta. Cruz River, Sta. Cruz Section, Sta. Cruz, Laguna",LAGUNA,"JTC CRUZ CONSTRUCTION CO., INC.","78,406,729.84","78,406,729.84",02/19/2022,01/17/2023,Region IV-A,22DH0012,"JTC CRUZ CONSTRUCTION CO., INC.",LAGUNA
"Construction of Flood Mitigation Structure along Cagayan River - Phase II (Sta. 0+257 - Sta. 0+477), Malapagay, Sto. Tomas, Isabela",ISABELA,DRAGON TWELVE BUILDERS & CONSTRUCTION SUPPLY,"48,969,896.00","48,969,896.00",05/18/2022,01/17/2023,Region II,22BE0012,DRAGON TWELVE BUILDERS & CONSTRUCTION SUPPLY,ISABELA
"Construction of Flood Mitigation Structures and Groundsill at Don Galo River - Moonwalk Creek Junction, District 2, Parañaque City",PARAÑAQUE CITY,RAICON DEVELOPMENT CORPORATION (FORMERLY : RA IGNACIO CONST. CORP.) / P.L.G.L. CONSTRUCTION,"77,200,000.00","77,200,000.00",03/24/2022,01/17/2023,National Capital Region,22OC0149,RAICON DEVELOPMENT CORPORATION (FORMERLY : RA IGNACIO CONST. CORP.) / P.L.G.L. CONSTRUCTION,PARAÑAQUE CITY
"Construction of Box Culvert at P Filinvest, Brgy. San Isidro, Parañaque City",PARAÑAQUE CITY,EL KAPITAN CONSTRUCTION SERVICES,"14,696,791.82","14,696,791.82",03/24/2022,01/17/2023,National Capital Region,22OC0074,EL KAPITAN CONSTRUCTION SERVICES,PARAÑAQUE CITY
"Construction of Slope Protection along Lanipga Road, Brgy. Lanipga, Consolacion, Cebu",CEBU,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION) / ZLREJ TRADING AND CONSTRUCTION CORPORATION,"96,500,000.00","96,500,000.00",03/31/2022,01/16/2023,Region VII,22HN0073,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION) / ZLREJ TRADING AND CONSTRUCTION CORPORATION,CEBU
"Construction of Slope Protection along Panas Road, Brgy. Panas, Consolacion, Cebu (Package II)",CEBU,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION) / ZLREJ TRADING AND CONSTRUCTION CORPORATION,"96,500,000.00","96,500,000.00",03/31/2022,01/16/2023,Region VII,22HN0078,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION) / ZLREJ TRADING AND CONSTRUCTION CORPORATION,CEBU
"Construction of Slope Protection along Panoypoy Road, Brgy. Panoypoy, Consolacion, Cebu",CEBU,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION) / ZLREJ TRADING AND CONSTRUCTION CORPORATION,"96,500,000.00","96,500,000.00",03/31/2022,01/16/2023,Region VII,22HN0080,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION) / ZLREJ TRADING AND CONSTRUCTION CORPORATION,CEBU
"Construction of Carcar River Flood Control Structure, Poblacion I, Sta. 0+000.00 - Sta. 0+504.00, Carcar City, Cebu",CEBU,PRIME GIGABUILD CONSTRUCTION CORP. (FORMERLY: RON DANIELL CONSTRUCTION CORPORATION),"91,674,735.35","91,674,735.35",03/25/2022,01/16/2023,Region VII,22HE0032,PRIME GIGABUILD CONSTRUCTION CORP. (FORMERLY: RON DANIELL CONSTRUCTION CORPORATION),CEBU
"Construction of Flood Mitigation Structure, Abuno River, Sta. 0+000.00 - Sta. 0+537.00, Minglanilla, Cebu",CEBU,PRIME GIGABUILD CONSTRUCTION CORP. (FORMERLY: RON DANIELL CONSTRUCTION CORPORATION),"91,675,000.00","91,675,000.00",03/25/2022,01/16/2023,Region VII,22HE0034,PRIME GIGABUILD CONSTRUCTION CORP. (FORMERLY: RON DANIELL CONSTRUCTION CORPORATION),CEBU
"Construction of Flood Control Structure, Barangay 14, Bacolod City, Negros Occidental",NEGROS OCCIDENTAL,HOMEWORLD CONSTRUCTION CORP. (FORMERLY HOMEWORLD E,"8,820,000.00","8,820,000.00",03/21/2022,01/16/2023,Negros Island Region,22GO0091,HOMEWORLD CONSTRUCTION CORP. (FORMERLY HOMEWORLD E,NEGROS OCCIDENTAL
"Construction of Casiguran Coastal Road, Casiguran, Sorsogon",SORSOGON,C.T. LEONCIO CONSTRUCTION & TRADING,"48,015,009.98","48,015,009.98",08/16/2022,01/16/2023,Region V,22FK0107,C.T. LEONCIO CONSTRUCTION & TRADING,SORSOGON
"Rehabilitation of Flood Control Structures along Halang Creek to Muntindilaw River, Antipolo City",RIZAL,BELL CONSTRUCTION,"18,433,172.71","18,433,172.71",03/23/2022,01/16/2023,Region IV-A,22DN0092,BELL CONSTRUCTION,RIZAL
"Construction of Flood Control Structure, Talolong River, Lopez, Quezon",QUEZON,MURIELEVEN BUILDERS AND CONSTRUCTION SUPPLY CORP.,"29,400,000.00","29,400,000.00",03/24/2022,01/16/2023,Region IV-A,22DL0145,MURIELEVEN BUILDERS AND CONSTRUCTION SUPPLY CORP.,QUEZON
"Construction of San Luis Batis Pumping Station, Brgy. Batis, San Juan City",SAN JUAN CITY,R.D. TALENS CONSTRUCTION AND TRADING / NEW EASTPOINT BUILDERS CORP.,"89,838,069.12","89,838,069.12",02/16/2022,01/16/2023,National Capital Region,22OB0002,R.D. TALENS CONSTRUCTION AND TRADING / NEW EASTPOINT BUILDERS CORP.,SAN JUAN CITY
"Construction of Drainage Canal in Barangay Tibal-og, Sto. Tomas, Davao del Norte",DAVAO DEL NORTE,"AB APONESTO CONSTRUCTION PARTS AND SUPPLY, INC.","4,919,156.22","4,919,156.22",06/02/2022,01/15/2023,Region XI,22LC0194,"AB APONESTO CONSTRUCTION PARTS AND SUPPLY, INC.",DAVAO DEL NORTE
"Construction of Slope Protection along Titunod Bridge I, Sta. 0+000.00 - Sta. 0+260.00, Kulambugan, Lanao del Norte",LANAO DEL NORTE,AL HUSSEIN CONSTRUCTION,"49,000,000.00","49,000,000.00",03/18/2022,01/15/2023,Region X,22KF0026,AL HUSSEIN CONSTRUCTION,LANAO DEL NORTE
"Construction of Flood Control Protection Works Structure, Bangon Bridge, Basey - Dolongan Road, Basey, Samar",SAMAR (WESTERN SAMAR),CDU CONSTRUCTION,"39,197,894.48","39,197,894.48",02/14/2022,01/15/2023,Region VIII,22IK0039,CDU CONSTRUCTION,SAMAR (WESTERN SAMAR)
"Rehabilitation of Dike along Cainta River in Genesis Royale II, Rrgy. San Andres, Cainta, Rizal",RIZAL,D.R. ROBLES CONSTRUCTION,"4,900,000.00","4,900,000.00",07/20/2022,01/15/2023,Region IV-A,22DN0152,D.R. ROBLES CONSTRUCTION,RIZAL
"Construction of Slope Protection from Baluctot River to Gov's Drive, Sampaloc III, Paliparan I, Dasmariñas, Cavite",CAVITE,KLDS TRADING & CONSTRUCTION,"29,398,431.92","29,398,431.92",04/06/2022,01/15/2023,Region IV-A,22DQ0063,KLDS TRADING & CONSTRUCTION,CAVITE
"Construction of Revetment along Imus River, at Brgy. Sabutan, Silang, Cavite",CAVITE,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J","82,906,844.73","82,906,844.73",03/27/2022,01/15/2023,Region IV-A,22DQ0012,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J",CAVITE
"Construction of Sto. Domingo Flood Control, Sto. Domingo, Bambang, Nueva Vizcaya",NUEVA VIZCAYA,E.T. LATAWAN CONSTRUCTION,"44,100,000.00","44,100,000.00",05/20/2022,01/15/2023,Region II,22BI0055,E.T. LATAWAN CONSTRUCTION,NUEVA VIZCAYA
"Construction of Flood Control Structure along Maranding River, Brgy. Maranding, Package 1, Lala, Lanao del Norte",LANAO DEL NORTE,KOUZBARY BUILDERS / LANAO BUILDER AND ENTERPRISES,"99,375,933.66","99,375,933.66",03/21/2022,01/14/2023,Region X,22K00090,KOUZBARY BUILDERS / LANAO BUILDER AND ENTERPRISES,LANAO DEL NORTE
"Construction of Flood Control Protection Works Structure, Iba Bridge, Brgy. Iba, Basey, Samar",SAMAR (WESTERN SAMAR),"B. VICENCIO BUILDERS (BVB), INC. (FORMERLY:B. VICENCIO CONSTRUCTION)","38,024,021.38","38,024,021.38",02/13/2022,01/14/2023,Region VIII,22IK0018,"B. VICENCIO BUILDERS (BVB), INC. (FORMERLY:B. VICENCIO CONSTRUCTION)",SAMAR (WESTERN SAMAR)
"Rehabilitation of Road Dike at Barangay Malanday, Marikina City",MARIKINA CITY,"L.R. TIQUI BUILDERS, INC.","46,522,147.58","46,522,147.58",02/08/2022,01/14/2023,National Capital Region,22OB0198,"L.R. TIQUI BUILDERS, INC.",MARIKINA CITY
"Construction of Riverbank in Barangay Tagbuyawan, Mainit, Surigao del Norte",SURIGAO DEL NORTE,"GICAR CONSTRUCTION, INC.","48,997,260.67","48,997,260.67",02/11/2022,01/13/2023,Region XIII,22NG0029,"GICAR CONSTRUCTION, INC.",SURIGAO DEL NORTE
"Repair/ Rehabilitation of Flood Control Structures Damaged by Typhoon ""Odette"" Catmon Flood Control , Brgy. Catmon, Naval, Biliran",BILIRAN,"ROVING PREMIER CONTRACTORS, INC.","28,564,526.52","28,564,526.52",11/10/2022,01/13/2023,Region VIII,22IA0130,"ROVING PREMIER CONTRACTORS, INC.",BILIRAN
"Construction/Improvement of Flood Control Structure along Balangao River, Sta. 0+532 - Sta. 0+865 (upstream), Sta. 0+616 - Sta. 0+890 (downstream), Tigaon, Camarines Sur",CAMARINES SUR,PARTIDO CONSTRUCTION & SUPPLY,"82,025,000.00","82,025,000.00",04/05/2022,01/13/2023,Region V,22FG0003,PARTIDO CONSTRUCTION & SUPPLY,CAMARINES SUR
"Drainage Improvement along Remedios St. from M. H. del Pilar St. to Remedios Circle, Malate, Manila, Phase II",CITY OF MANILA,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)","77,065,181.98","77,065,181.98",02/28/2022,01/13/2023,National Capital Region,22OH0023,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)",CITY OF MANILA
"Construction of M. Blas Pumping Station including Drainage System, Brgy. Hulong Duhat, Malabon City",MALABON CITY,ROTAFLEX CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY:ROTA FLEX CONSTRUCTION),"29,398,759.41","29,398,759.41",02/28/2022,01/13/2023,National Capital Region,22OA0072,ROTAFLEX CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY:ROTA FLEX CONSTRUCTION),MALABON CITY
"Construction of Flood Control Dike along Kabacan River (Tuael Section) L/S, Brgy. Tuael, President Roxas, North Cotabato",COTABATO (NORTH COTABATO),JTL KONSTRUCT CORPORATION / VICENTE T. LAO CONSTRUCTION,"48,510,000.00","48,510,000.00",03/18/2022,01/12/2023,Region XII,22MC0018,JTL KONSTRUCT CORPORATION / VICENTE T. LAO CONSTRUCTION,COTABATO (NORTH COTABATO)
"Construction of Drainage Canal at Apolong, Valencia, Negros Oriental",NEGROS ORIENTAL,MG CONSTRUCTION,"4,950,000.00","4,950,000.00",04/19/2022,01/12/2023,Negros Island Region,22HL0081,MG CONSTRUCTION,NEGROS ORIENTAL
"Construction of River Protection Structure near Bayanbayanan Bridge, Brgy.San Vicente, San Pedro City, Laguna",LAGUNA,11 DIAMOND EAGLE CONSTRUCTION CORPORATION (FORMERLY:11 DIAMOND EAGLE CONSTRUCTION),"44,052,051.78","44,052,051.78",03/21/2022,01/12/2023,Region IV-A,22DI0068,11 DIAMOND EAGLE CONSTRUCTION CORPORATION (FORMERLY:11 DIAMOND EAGLE CONSTRUCTION),LAGUNA
"Rehabilitation of Drainage at Purok 25, Peoples Village, Barangay Maa, Davao City",DAVAO DEL SUR,VIBRANIUM BUILDERS CORPORATION,"6,860,000.00","6,860,000.00",06/02/2022,01/11/2023,Region XI,22LB0375,VIBRANIUM BUILDERS CORPORATION,DAVAO DEL SUR
"Construction of River Bank Protection Works (Upstream) of Barangay Padang, Legazpi City",ALBAY,"INFRA BUILDERS AND SELLERS, PHILIPPINES","96,499,920.56","96,499,920.56",04/13/2022,01/11/2023,Region V,22FB0150,"INFRA BUILDERS AND SELLERS, PHILIPPINES",ALBAY
"Construction of Flood Control Structure and Tributaries, Bagong Silangan, Quezon City",QUEZON CITY,ALPIZ CONSTRUCTION & DEVELOPMENT CORPORATION,"18,816,000.00","18,816,000.00",05/17/2022,01/11/2023,National Capital Region,22OF0103,ALPIZ CONSTRUCTION & DEVELOPMENT CORPORATION,QUEZON CITY
"Construction of Slope Protection Along Taguig River, Facing Downstream (East Bank), Package 5, Taguig City",TAGUIG CITY,ST. TIMOTHY CONSTRUCTION CORPORATION,"96,500,000.00","96,500,000.00",03/24/2022,01/11/2023,National Capital Region,22OB0106,ST. TIMOTHY CONSTRUCTION CORPORATION,TAGUIG CITY
"Construction of Drainage System at Purok 7 & 9, Barangay 39-D, Davao City",DAVAO DEL SUR,C'ZARLES CONSTRUCTION & SUPPLY,"6,860,000.00","6,860,000.00",04/13/2022,01/10/2023,Region XI,22LB0371,C'ZARLES CONSTRUCTION & SUPPLY,DAVAO DEL SUR
"Construction of Storm Surge Protection: Tide Embankment, Subsection 6.7, Brgy. San Roque, Tanauan, Leyte",LEYTE,EZJONES CONSTRUCTION INC. / MWJ CONSTRUCTION,"84,652,058.28","84,652,058.28",02/28/2022,01/10/2023,Region VIII,22I00037,EZJONES CONSTRUCTION INC. / MWJ CONSTRUCTION,LEYTE
"Construction of Flood Control Structure at Brgy. Calaocan Section 1, Santiago City, Isabela",ISABELA,MA TESORO CONSTRUCTION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"96,499,615.93","96,499,615.93",04/01/2022,01/10/2023,Region II,22BH0110,MA TESORO CONSTRUCTION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),ISABELA
"Construction of Flood Control Structure along the bank of Cagayan River, Centro 1, Angadanan, Isabela",ISABELA,DANYSONS CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: DANYSONS CONSTRUCTION),"42,002,289.88","42,002,289.88",02/14/2022,01/10/2023,Region II,22BG0079,DANYSONS CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: DANYSONS CONSTRUCTION),ISABELA
"Construction of Slope Protection Works along Naguilian - Caba Road, La Union",LA UNION,"J.H. PAJARA CONSTRUCTION CORPORATION / S-ANG CONSTRUCTION & GENERAL TRADING, INC.","241,249,956.00","241,249,956.00",04/12/2022,01/10/2023,Region I,22A00275,"J.H. PAJARA CONSTRUCTION CORPORATION / S-ANG CONSTRUCTION & GENERAL TRADING, INC.",LA UNION
"Construction of Flood Control Structure along Bongo River, Left Bank, Laoag River Basin Flood Control and Sabo Project, Brgy. Poblacion, Sitio Golbao, Nueva Era, Ilocos Norte",ILOCOS NORTE,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),"96,499,933.26","96,499,933.26",04/07/2022,01/10/2023,Region I,22A00254,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),ILOCOS NORTE
"Construction of Flood Control Structure along Bongo River, Right Bank, Laoag River Basin Flood Control and Sabo Project, Brgy. Poblacion, Sitio Nagrebcan, Nueva Era, Ilocos Norte",ILOCOS NORTE,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,"96,499,973.59","96,499,973.59",04/07/2022,01/10/2023,Region I,22A00258,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,ILOCOS NORTE
"Construction of Flood Control Structure along Bongo River, Right Bank, Laoag River Basin Flood Control and Sabo Project, Brgy. Poblacion, Sitio Boli, Nueva Era, Ilocos Norte",ILOCOS NORTE,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),"96,499,990.96","96,499,990.96",04/07/2022,01/10/2023,Region I,22A00252,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),ILOCOS NORTE
"Rehabilitation of Pasig-Marikina River Channel, Brgy. Bagong Ilog and Brgy. Kapasigan, Pasig City",PASIG CITY,E.R. RODRIGUEZ CONSTRUCTION CORPORATION (FORMERLY: E.R. RODRIGUEZ CONSTRUCTION),"93,099,243.36","93,099,243.36",05/16/2022,01/10/2023,National Capital Region,22OB0075,E.R. RODRIGUEZ CONSTRUCTION CORPORATION (FORMERLY: E.R. RODRIGUEZ CONSTRUCTION),PASIG CITY
"Construction of Flood Control Structure, Barangay Abang, Bucay, Abra",ABRA,739 BUILDERS,"19,597,172.35","19,597,172.35",06/20/2022,01/10/2023,Cordillera Administrative Region,22PA0130,739 BUILDERS,ABRA
"Construction of Seawall, Barangay Patino, Tagana-an, Surigao del Norte",SURIGAO DEL NORTE,ROMZ BUILDERS,"6,855,886.45","6,855,886.45",04/01/2022,01/09/2023,Region XIII,22NG0052,ROMZ BUILDERS,SURIGAO DEL NORTE
Construction of Open Canal Brgy Rantian Ditsaan-Ramain Lanao Del Sur,LANAO DEL SUR,TJB CONSTRUCTION,"9,602,479.28","9,602,479.28",08/08/2022,01/09/2023,Bangsamoro Autonomous Region in Muslim Mindanao,22K00295,TJB CONSTRUCTION,LANAO DEL SUR
"Construction of Slope Protection along Maigo Bridge, (downstream) (LS), Sta. 0+000.00 - Sta. 0+260.00, Maigo, Lanao del Norte",LANAO DEL NORTE,MAMSAR CONSTRUCTION AND INDUSTRIAL CORPORATION,"67,550,000.00","67,550,000.00",03/18/2022,01/09/2023,Region X,22KF0024,MAMSAR CONSTRUCTION AND INDUSTRIAL CORPORATION,LANAO DEL NORTE
"Construction of Das-ay Flood Control, Hinunangan, Southern Leyte",SOUTHERN LEYTE,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),"49,000,000.00","49,000,000.00",02/16/2022,01/09/2023,Region VIII,22IL0099,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),SOUTHERN LEYTE
"Construction of San Francisco River Control, Sta Catalina, Negros Oriental",NEGROS ORIENTAL,PHILSOUTH BUILDERS INC (FORMERLY:PHILSOUTH BUILDERS),"49,500,000.00","49,500,000.00",04/07/2022,01/09/2023,Negros Island Region,22HL0094,PHILSOUTH BUILDERS INC (FORMERLY:PHILSOUTH BUILDERS),NEGROS ORIENTAL
"Construction of Flood Control Structure, Patrick River Lagnas Section, Sta. 0+000 - Sta. 0+390, Sablayan, Occidental Mindoro",OCCIDENTAL MINDORO,SIXTEEN ENTERPRISES-CALAPAN BRANCH,"30,933,863.50","30,933,863.50",05/31/2022,01/09/2023,Region IV-B,22EB0028,SIXTEEN ENTERPRISES-CALAPAN BRANCH,OCCIDENTAL MINDORO
"Construction of Lucban Flood Control along Abulug River (Sta. 0+796 - Sta. 0+996), Abulug, Cagayan",CAGAYAN,JC PALOMO CONSTRUCTION & CONSTRUCTION SUPPLY / C.T. LEONCIO CONSTRUCTION & TRADING,"49,000,000.00","49,000,000.00",02/14/2022,01/09/2023,Region II,22BC0027,JC PALOMO CONSTRUCTION & CONSTRUCTION SUPPLY / C.T. LEONCIO CONSTRUCTION & TRADING,CAGAYAN
"Construction of Flood Control Structure of Brgy. Bakiad, Labo, Camarines Norte",CAMARINES NORTE,BRENTMIN ROOFING ENTERPRISE,"33,271,379.32","33,271,379.32",03/23/2022,01/08/2023,Region V,22FC0040,BRENTMIN ROOFING ENTERPRISE,CAMARINES NORTE
"Construction of River Protection Structure near Anos Bridge, (Downstream), Los Baños, Laguna",LAGUNA,11 DIAMOND EAGLE CONSTRUCTION CORPORATION (FORMERLY:11 DIAMOND EAGLE CONSTRUCTION),"86,847,262.08","86,847,262.08",03/09/2022,01/08/2023,Region IV-A,22DI0061,11 DIAMOND EAGLE CONSTRUCTION CORPORATION (FORMERLY:11 DIAMOND EAGLE CONSTRUCTION),LAGUNA
"Construction of Simayung Flood Control along Abulug River, Sta. 7+241 - Sta. 7+416 Section 1, Sta. 7+416 - Sta. 7+466 Section 2, Abulug, Cagayan",CAGAYAN,JEICCA BUILDERS / W.D. NAVARRO CONSTRUCTION CO.,"49,000,000.00","49,000,000.00",03/29/2022,01/08/2023,Region II,22BC0030,JEICCA BUILDERS / W.D. NAVARRO CONSTRUCTION CO.,CAGAYAN
"Construction of Flood Control Structure along Dingris River, Laoag River Basin, Ilocos Norte",ILOCOS NORTE,"DYLAN EQUIPMENT CONSTRUCTION AND SUPPLIES / SKYLINE CONSTRUCTION, EQUIPMENT AND DEVELOPMENT CORPORATION(FORMERLY: EDDIE G. GUILLEN BUILDERS INC.","86,850,000.00","86,850,000.00",03/04/2022,01/08/2023,Region I,22A00133,"DYLAN EQUIPMENT CONSTRUCTION AND SUPPLIES / SKYLINE CONSTRUCTION, EQUIPMENT AND DEVELOPMENT CORPORATION(FORMERLY: EDDIE G. GUILLEN BUILDERS INC.",ILOCOS NORTE
"Construction of Slope Protection along Ermitaño Creek, San Juan City",SAN JUAN CITY,WAWAO BUILDERS,"18,619,991.16","18,619,991.16",03/24/2022,01/08/2023,National Capital Region,22OB0242,WAWAO BUILDERS,SAN JUAN CITY
"Construction of River Control, Barangay Bagakay, Claver, Surigao del Norte",SURIGAO DEL NORTE,"CHARLZ CONSTRUCTION, INC.","57,899,998.84","57,899,998.84",03/11/2022,01/07/2023,Region XIII,22NG0042,"CHARLZ CONSTRUCTION, INC.",SURIGAO DEL NORTE
